Unnamed: 0,0,raw_text,clean_text,pos_count,neg_count,score,sentiment_label,finbert_sentiment_label,neg,neu,pos,compound,vader_sentiment_label
0,"<p>Weekly options data suggested that 26,000 is likely to be the crucial level for further direction in the Nifty 50, with resistance at 26,200 and support at 25,500.</p>","<p>Weekly options data suggested that 26,000 is likely to be the crucial level for further direction in the Nifty 50, with resistance at 26,200 and support at 25,500.</p>",week option data suggest like crucial level direction resistance support,0.0,0.0,0.0,neutral,negative,0.0,0.606,0.394,0.6369,positive
1,"<p>Sectoral trends reflected the uneven mood in the market. Nifty Media emerged as the worst performer, falling 0.8 percent, followed by Nifty IT and Nifty Consumer Durables, each shedding 0.5 percent.</p>","<p>Sectoral trends reflected the uneven mood in the market. Nifty Media emerged as the worst performer, falling 0.8 percent, followed by Nifty IT and Nifty Consumer Durables, each shedding 0.5 percent.</p>",sectoral trend reflect uneven mood media emerg worst performer fall follow consumer durabl shedd,0.0,1.0,-0.2672612419124244,negative,neutral,0.24,0.76,0.0,-0.6249,negative
2,"<p>On the sectoral front, metal, pharma, PSU Bank and realty added 0.5-1%, while consumer durables, IT, media, oil &amp; gas shed 0.5% each.</p>","<p>On the sectoral front, metal, pharma, PSU Bank and realty added 0.5-1%, while consumer durables, IT, media, oil &amp; gas shed 0.5% each.</p>",sectoral front metal pharma psu bank realty add consumer durabl media oil amp gas shed,0.0,0.0,0.0,neutral,negative,0.0,1.0,0.0,0.0,neutral
3,"<p>Stock markets today: Easing VIX, value buying were also among key factors weighing on the improving market sentiment</p>","<p>Stock markets today: Easing VIX, value buying were also among key factors weighing on the improving market sentiment</p>",stock market eas vix value buy also among key factor weigh improv sentiment,0.0,0.0,0.0,neutral,negative,0.0,0.833,0.167,0.34,positive
4,"<p>The Gift Nifty was trading at 25,980, up 0.05 percent from its previous close</p>","<p>The Gift Nifty was trading at 25,980, up 0.05 percent from its previous close</p>",gift previou,0.0,0.0,0.0,neutral,negative,0.0,0.256,0.744,0.4404,positive
5,"<p>Wall Street stocks closed higher on Monday, extending Friday's rally as increased odds that the US Federal Reserve will lower its Fed funds target rate in December helped investors look past concerns about inflated tech valuations.</p>","<p>Wall Street stocks closed higher on Monday, extending Friday's rally as increased odds that the US Federal Reserve will lower its Fed funds target rate in December helped investors look past concerns about inflated tech valuations.</p>",wall street stock clos higher monday extend ral increas odd federal reserve lower fed fund target rate december help investor look past concern inflat tech valuation,0.0,0.0,0.0,neutral,negative,0.146,0.712,0.142,-0.0258,neutral
6,"<p>GST rationalisation and increased credit borrowing in the upcoming festive season is going to boost the growth in NBFCs, said Divam Sharma.</p>","<p>GST rationalisation and increased credit borrowing in the upcoming festive season is going to boost the growth in NBFCs, said Divam Sharma.</p>",gst rationalisation increas credit borrow upcom festive season going boost growth nbfc divam sharma,1.0,0.0,0.2672612419124244,positive,negative,0.0,0.478,0.522,0.872,positive
7,"<p>On the sectoral front, metal, pharma, PSU Bank and realty added 0.5-1%, while consumer durables, IT, media shed 0.5% each. BSE Midcap and smallcap indices ended higher. Hindalco Industries, SBI, Bharat Electronics, Shriram Finance, HDFC Life were among major gainers on the Nifty, while losers included Adani Enterprises, TMPV, Infosys, HDFC Bank and Trent.</p>","<p>On the sectoral front, metal, pharma, PSU Bank and realty added 0.5-1%, while consumer durables, IT, media shed 0.5% each. BSE Midcap and smallcap indices ended higher. Hindalco Industries, SBI, Bharat Electronics, Shriram Finance, HDFC Life were among major gainers on the Nifty, while losers included Adani Enterprises, TMPV, Infosys, HDFC Bank and Trent.</p>",sectoral front metal pharma psu bank realty add consumer durabl media shed bse midcap smallcap indic end higher hindalco industri sbi bharat electronic shriram finance hdfc life among major gainer loser includ adani enterpris tmpv infosy hdfc bank trent,0.0,0.0,0.0,neutral,negative,0.082,0.918,0.0,-0.5267,negative
8,"<p>The Nifty is expected to trade in the range of 25,850-26,250 (previous week’s range) in the upcoming sessions. A decisive break on either side may give a clear direction, as a move below this range could strengthen the bears.</p>","<p>The Nifty is expected to trade in the range of 25,850-26,250 (previous week’s range) in the upcoming sessions. A decisive break on either side may give a clear direction, as a move below this range could strengthen the bears.</p>",expect range previou range upcom session decisive break either side give clear direction move range strengthen bear,0.0,1.0,-0.24253562503633297,negative,negative,0.0,0.673,0.327,0.7003,positive
9,"<p>The next support for the Nifty 50 is placed at 25,850, the lower end of the previous week's range (25,850–26,250) and the midline of the Bollinger Bands. If the index decisively breaks this level, bears may turn stronger and a fall toward 25,700 is possible. On the higher side, 26,100 and 26,250 are the hurdles to watch, experts said.</p>","<p>The next support for the Nifty 50 is placed at 25,850, the lower end of the previous week's range (25,850–26,250) and the midline of the Bollinger Bands. If the index decisively breaks this level, bears may turn stronger and a fall toward 25,700 is possible. On the higher side, 26,100 and 26,250 are the hurdles to watch, experts said.</p>",next support plac lower end previou range midline bollinger band index decisive break level bear turn stronger toward possible higher side hurdl watch expert,0.0,1.0,-0.20412414523193154,negative,neutral,0.075,0.68,0.245,0.6124,positive
